team,year,average-home-attendance,total-home-attendance,made-playoffs
New York Yankees,2017,"38,950","3,154,938",1
New York Yankees,2016,"37,820","3,063,405",
New York Yankees,2015,"39,430","3,193,795",1
New York Yankees,2014,"41,995","3,401,624",
New York Yankees,2013,"40,489","3,279,589",
New York Yankees,2012,"43,733","3,542,406",1
New York Yankees,2011,"45,107","3,653,680",1
New York Yankees,2010,"46,491","3,765,807",1
New York Yankees,2009,"45,918","3,719,358",1
New York Yankees,2008,"53,070","4,298,655",
New York Yankees,2007,"52,729","4,271,083",1
New York Yankees,2006,"52,445","4,248,067",1
New York Yankees,2005,"50,502","4,090,696",1
New York Yankees,2004,"46,609","3,775,292",1
New York Yankees,2003,"42,263","3,465,600",1
New York Yankees,2002,"43,323","3,465,807",1
New York Yankees,2001,"40,811","3,264,907",1
New York Yankees,2000,"38,193","3,055,435",1
New York Yankees,1999,"40,651","3,292,736",1
New York Yankees,1998,"36,484","2,955,193",1
New York Yankees,1997,"32,254","2,580,325",1
New York Yankees,1996,"28,136","2,250,877",1
New York Yankees,1995,"23,360","1,705,263",1
New York Yankees,1994,"29,396","1,675,556",
New York Yankees,1993,"29,839","2,416,942",
New York Yankees,1992,"21,589","1,748,737",
New York Yankees,1991,"23,009","1,863,733",
New York Yankees,1990,"24,771","2,006,436",
New York Yankees,1989,"26,796","2,170,485",
New York Yankees,1988,"32,921","2,633,701",
New York Yankees,1987,"29,971","2,427,672",
New York Yankees,1986,"28,350","2,268,030",
New York Yankees,1985,"27,682","2,214,587",
New York Yankees,1984,"22,492","1,821,815",
New York Yankees,1983,"27,876","2,257,976",
New York Yankees,1982,"25,200","2,041,219",
New York Yankees,1981,"31,654","1,614,353",1
New York Yankees,1980,"32,437","2,627,417",1
New York Yankees,1979,"31,330","2,537,765",
New York Yankees,1978,"28,838","2,335,871",1
New York Yankees,1977,"25,964","2,103,092",1
New York Yankees,1976,"25,155","2,012,434",1
New York Yankees,1975,"16,513","1,288,048",
New York Yankees,1974,"15,717","1,273,075",
New York Yankees,1973,"15,582","1,262,103",
New York Yankees,1972,"12,550","966,328",
New York Yankees,1971,"13,219","1,070,771",
New York Yankees,1970,"14,036","1,136,879",
New York Yankees,1969,"13,350","1,067,996",
