player,team,salary-2018,current-as-of,sport
Yoenis Cespedes,Mets,"$29,000,000",,baseball
Giancarlo Stanton,Yankees,25000000,,baseball
Adrian Gonzalez,Mets,"$22,600,000",,baseball
Masahiro Tanaka,Yankees,22000000,,baseball
Jacoby Ellsbury,Yankees,21140000,,baseball
David Wright,Mets,"$20,000,000",,baseball
Enes Kanter,Knicks,18622514,,basketball
Joakim Noah,Knicks,18530000,,basketball
Allen Crabbe,Nets,18500000,,basketball
Tim Hardaway Jr.,Knicks,17325000,,basketball
Aroldis Chapman,Yankees,17200000,,baseball
Timofey Mosgov,Nets,16000000,,basketball
DeMarre Carroll,Nets,15400000,,basketball
David Robertson,Yankees,13000000,,baseball
Olivier Vernon,Giants,12750000,,football
Jeremy Lin,Nets,12516746,,basketball
D'Angelo Russell,Nets,12516746,,basketball
Courtney Lee,Knicks,12253780,,basketball
Brett Gardner,Yankees,11500000,,baseball
Jay Bruce,Mets,"$11,000,000",,baseball
Janoris Jenkins,Giants,10900000,,football
Eli Manning,Giants,10500000,,football
CC Sabathia,Yankees,10000000,,baseball
AJ Ramos,Mets,"$9,220,000",,baseball
Odell Beckham Jr.,Giants,8459000,,football
Didi Gregorius,Yankees,8250000,,baseball
Asdrubal Cabrera,Mets,"$8,200,000",,baseball
Todd Frazier,Mets,"$8,000,000",,baseball
Kelvin Beachum,Jets,8000000,,football
Kevin Shattenkirk,Rangers,8000000,,hockey
Jeurys Familia,Mets,7920000,,baseball
Damon Harrison,Giants,7750000,,football
Henrik Lundqvist,Rangers,7500000,,hockey
Jacob deGrom,Mets,7400000,,baseball
Lance Thomas,Knicks,7119650,,basketball
Jerry Blevins,Mets,"$7,000,000",,baseball
Brian Winters,Jets,7000000,,football
Josh Bailey,Islanders,7000000,,hockey
Juan Lagares,Mets,"$6,500,000",,baseball
Sonny Gray,Yankees,6500000,,baseball
Johnny Boychuk,Islanders,6500000,,hockey
Jason Vargas,Mets,"$6,000,000",,baseball
Trumaine Johnson,Jets,6000000,,football
Buster Skrine,Jets,6000000,,football
Marc Staal,Rangers,6000000,,hockey
Andrew Ladd,Islanders,6000000,,hockey
Jordan Eberle,Islanders,6000000,,hockey
Nate Solder,Giants,5900000,,football
Kristaps Porzingas,Knicks,5697054,,basketball
Matt Harvey,Mets,5620000,,baseball
David Villa,NYCFC,5610000,,soccer
Anthony Swarzak,Mets,"$5,500,000",,baseball
Mika Zibanejad,Rangers,5500000,,hockey
Nick Leddy,Islanders,5500000,,hockey
Dellin Betances,Yankees,5100000,,baseball
Josh McCown,Jets,5000000,,football
Spencer Long,Jets,5000000,,football
Teddy Bridgewater,Jets,5000000,,football
Jermaine Kearse,Jets,5000000,,football
Anders Lee,Islanders,5000000,,hockey
Jahlil Okafor,Nets,4995120,,basketball
Ron Baker,Knicks,4544400,,basketball
Brendan Smith,Rangers,4525000,,hockey
Chris Kreider,Rangers,4500000,,hockey
Mats Zuccarello,Rangers,4500000,,hockey
James Carpenter,Jets,4450000,,football
Emmanuel Mudiay,Knicks,4294480,,basketball
Kyle O'Quinn,Knicks,4256250,,basketball
Frank Ntilikina,Knicks,4155720,,basketball
Neil Walker,Yankees,4000000,,baseball
Avery Williamson,Jets,4000000,,football
Bilal Powell,Jets,4000000,,football
Cal Clutterbuck,Islanders,4000000,,hockey
Morris Claiborne,Jets,3850000,,football
Casey Cizikas,Islanders,3500000,,hockey
Travis d'Arnoud,Mets,3480000,,baseball
Wilmer Flores,Mets,3400000,,baseball
Adam Warren,Yankees,3310000,,baseball
